order_item_id,order_id,product_id,quantity,unit_price
1,4476,9,5,2214.63
2,8307,28,3,4829.76
3,6351,39,4,1177.03
4,9743,38,5,1689.49
5,5408,24,5,4193.24
6,3500,17,1,3656.26
7,5100,3,4,409.42
8,9729,26,2,3538.65
9,8856,20,3,278.73
10,6289,49,4,3550.81
11,5362,8,2,2728.54
12,9260,43,1,926.03
13,9091,17,1,3489.3
14,3407,32,2,2209.68
15,9625,23,2,1518.65
16,5946,19,3,402.49
17,8204,3,3,3851.37
18,4922,2,2,1943.43
19,2483,35,1,3421.01
20,9499,16,1,1872.93
21,6597,3,3,2339.56
22,1116,35,3,1471.77
23,8338,27,4,4256.19
24,8076,9,2,3764.42
25,4233,17,4,3495.26
26,1746,25,2,915.23
27,3331,4,1,2691.12
28,794,14,5,2991.27
29,7960,49,4,3675.64
30,5398,47,4,1683.1
31,2356,25,1,141.85
32,174,30,4,1722.66
33,7386,14,1,4868.57
34,6296,36,2,419.83
35,1534,47,3,4762.3
36,5555,1,1,3455.61
37,6214,19,2,3352.6
38,4865,2,4,4771.79
39,2424,4,1,2560.77
40,2002,14,4,3972.63
41,3578,42,5,4594.45
42,4130,14,4,3004.83
43,342,25,4,872.41
44,4403,27,2,4121.48
45,4950,35,4,3001.79
46,1472,26,4,4820.47
47,134,2,4,191.17
48,4583,49,4,3466.85
49,4898,30,4,1120.63
50,5510,30,4,4478.04
51,3062,42,1,1526.07
52,8554,6,2,1563.73
53,7531,42,3,2489.69
54,6458,19,3,1945.09
55,1329,43,3,3923.49
56,3174,20,5,1498.17
57,570,19,1,1330.31
58,4761,24,1,3326.84
59,8281,49,4,971.53
60,146,47,5,1163.52
61,4301,19,2,2142.0
62,8031,17,5,3359.53
63,9257,21,1,2405.17
64,3342,41,4,4840.08
65,5401,5,2,2135.96
66,7070,14,1,2110.43
67,5895,47,2,1761.9
68,6441,16,1,3331.85
69,8410,48,1,4849.63
70,1299,32,3,1104.33
71,2436,9,1,4850.18
72,2328,40,3,3293.55
73,3641,33,1,3288.28
74,4918,4,5,4587.74
75,516,18,4,3727.7
76,7362,19,4,4828.73
77,7037,6,2,268.4
78,3945,31,3,2535.45
79,8225,50,4,4622.4
80,1438,28,1,2364.97
81,6353,5,2,2688.88
82,5286,12,5,697.94
