order_id,customer_id,order_date,status
1,427,2025-10-13,Delivered
2,895,2025-08-15,Cancelled
3,619,2025-06-27,Cancelled
4,190,2025-07-19,Shipped
5,569,2025-03-20,Shipped
6,524,2025-07-22,Cancelled
7,259,2026-01-08,Cancelled
8,585,2025-07-05,Cancelled
9,148,2025-07-11,Shipped
10,557,2025-05-13,Delivered
11,881,2025-06-02,Shipped
12,228,2026-01-04,Shipped
13,405,2025-12-09,Delivered
14,559,2025-03-22,Shipped
15,451,2025-08-09,Delivered
16,141,2025-11-19,Delivered
17,665,2025-05-05,Shipped
18,696,2025-08-09,Cancelled
19,194,2025-04-06,Cancelled
20,863,2025-03-18,Delivered
21,354,2025-09-05,Cancelled
22,734,2025-10-03,Shipped
23,42,2026-02-20,Delivered
24,264,2025-08-03,Cancelled
25,118,2025-09-22,Shipped
26,177,2025-04-29,Delivered
27,714,2025-05-05,Shipped
28,2,2025-10-16,Delivered
29,212,2025-09-28,Shipped
30,937,2025-09-13,Cancelled
31,835,2025-05-07,Shipped
32,194,2025-12-13,Delivered
33,975,2025-08-11,Shipped
34,791,2026-01-23,Cancelled
35,130,2026-01-14,Delivered
36,440,2025-05-23,Shipped
37,783,2025-05-01,Delivered
38,362,2026-02-27,Cancelled
39,484,2025-07-12,Shipped
40,586,2025-08-21,Delivered
41,706,2025-05-16,Delivered
42,817,2026-03-01,Cancelled
43,779,2025-06-02,Shipped
44,663,2025-12-20,Shipped
45,368,2025-04-14,Cancelled
46,653,2025-09-03,Cancelled
47,211,2025-04-05,Shipped
48,819,2025-04-24,Delivered
49,518,2025-06-17,Cancelled
50,329,2026-03-01,Delivered
51,998,2025-05-21,Cancelled
52,965,2025-09-01,Cancelled
53,8,2025-11-15,Shipped
54,770,2025-06-07,Shipped
55,398,2025-11-13,Cancelled
56,609,2025-04-22,Delivered
57,663,2025-08-28,Cancelled
58,258,2025-04-25,Cancelled
59,563,2025-11-17,Delivered
60,612,2025-08-21,Delivered
61,242,2025-05-03,Delivered
62,953,2025-12-19,Shipped
63,995,2025-05-10,Shipped
64,55,2025-04-20,Delivered
65,298,2025-07-13,Delivered
66,776,2025-05-23,Delivered
67,973,2025-11-01,Delivered
68,267,2025-07-24,Shipped
69,698,2026-01-05,Delivered
70,854,2025-12-30,Cancelled
71,606,2025-09-01,Delivered
72,415,2025-10-13,Delivered
73,138,2025-05-13,Cancelled
74,228,2025-04-16,Cancelled
75,788,2025-10-30,Delivered
76,132,2025-09-04,Cancelled
77,801,2025-05-24,Cancelled
78,388,2025-09-17,Shipped
79,245,2025-03-19,Shipped
80,47,2025-09-23,Shipped
81,542,2025-05-30,Delivered
82,301,2026-02-07,Delivered
83,937,2025-11-09,Cancelled
84,317,2025-03-31,Shipped
85,29,2025-11-04,Cancelled
86,594,2026-03-01,Shipped
87,222,2025-06-24,Shipped
88,754,2025-04-16,Delivered
89,476,2026-01-02,Cancelled
90,705,2025-08-01,Shipped
91,708,2025-04-03,Delivered
92,587,2025-03-26,Cancelled
93,183,2025-03-28,Shipped
94,700,2025-04-21,Cancelled
95,365,2025-04-24,Delivered
96,772,2025-12-20,Cancelled
97,144,2025-04-03,Delivered
98,775,2025-12-22,Cancelled
99,232,2025-04-24,Delivered
100,271,2025-10-21,Shipped
101,281,2026-01-08,Cancelled
102,979,2025-05-07,Shipped
103,153,2026-01-29,Cancelled
104,615,2026-01-24,Delivered
105,744,2025-08-27,Cancelled
106,309,2026-01-27,Cancelled
107,48,2025-09-08,Shipped
108,552,2025-10-16,Delivered
109,194,2025-06-03,Shipped
110,854,2026-03-10,Cancelled
111,308,2025-03-18,Delivered
112,301,2025-08-19,Cancelled
113,823,2025-07-14,Cancelled
114,414,2025-03-20,Delivered
115,392,2025-05-23,Shipped
116,697,2025-12-02,Delivered
117,206,2025-08-28,Delivered
118,56,2026-02-13,Shipped
119,439,2025-05-15,Delivered
120,686,2025-06-07,Delivered
121,447,2025-12-15,Delivered
122,972,2026-02-18,Shipped
123,124,2025-08-03,Cancelled
124,523,2026-02-18,Delivered
